English Vocabulary,Farsi Vocabulary,
Vocabulary,weāzhekān,واژگان,
Countries,keshorehā,کشورها,
Australia,āseterāleyā,استرالیا,
Cambodia,kāmeboj,کامبوج,
Canada,kānādā,کانادا,
China,cheyen,چین,
Egypt,meṣer,مصر,
England,ānekelesetān,انگلستان,
France,ferāneseh,فرانسه,
Germany,ālemān,آلمان,
Greece,yonān,یونان,
India,henedosetān,هندوستان,
Indonesia,ānedonezey,اندونزی,
Italy,āyetāleyā,ایتالیا,
Japan,zhāpen,ژاپن,
Mexico,mekezeyek,مکزیک,
Morocco,merākesh,مراکش,
Peru,pero,پرو,
Spain,āsepāneyā,اسپانیا,
Thailand,tāyelened,تایلند,
USA,āyālāt meteḥedeh,ایالات متحده,
Languages,zebān hā,زبان ها,
Arabic,'erebey,عربی,
Chinese,cheyeney,چینی,
English,ānekeleyesey,انگلیسی,
French,ferānesoy,فرانسوی,
German,ālemāney,آلمانی,
Greek,yonāney,یونانی,
Hebrew,'eberey,عبری,
Hindi,henedey,هندی,
Italian,āyetāleyāyey,ایتالیایی,
Japanese,zhāpeney,ژاپنی,
Korean,kereh āy,کره ای,
Latin,lāteyen,لاتین,
Russian,rosey,روسی,
Spanish,āsepāneyāyey,اسپانیایی,
Urdu,āredo,اردو,
Days,rozehā,روزها,
Monday,doshenebeh,دوشنبه,
Tuesday,seh shenebeh,سه شنبه,
Wednesday,chehāreshenebeh,چهارشنبه,
Thursday,penej shenebeh,پنج شنبه,
Friday,jeme'eh,جمعه,
Saturday,shenebeh,شنبه,
Sunday,yekeshenebeh,یکشنبه,
time,zemān,زمان,
hour,sā'et,ساعت,
minute,dequeyequeh,دقیقه,
second,s̱āneyeh,ثانیه,
colors,renekehā,رنگها,
black,seyāh,سیاه,
blue,ābey,آبی,
brown,quehoh āy,قهوه ای,
gray,khākeseterey,خاکستری,
green,sebez,سبز,
orange,nārenejey,نارنجی,
purple,āreghoāney,ارغوانی,
red,queremez,قرمز,
white,sefeyed,سفید,
yellow,zered,زرد,
sizes,ānedāzeh hā,اندازه ها,
big,bezerek,بزرگ,
deep,'emeyequ,عمیق,
long,derāz / kesheyedeh / ṭolāney,دراز / کشیده / طولانی,
narrow,bāreyek,باریک,
short,kotāh,کوتاه,
small,kochek,کوچک,
tall,qued belened,قد بلند,
thick,z̤ekheyem,ضخیم,
thin,nāzek,نازک,
wide,weseye',وسیع,
tastes,mezeh hā,مزه ها,
bitter,telekh,تلخ,
fresh,tāzeh,تازه,
salty,shor,شور,
sour,teresh,ترش,
spicy,tened,تند,
sweet,sheyereyen,شیرین,
